,fl_date,op_carrier,iata,icao,state,state_name,airport,latitude,longitude,dep_delay,arr_delay,cancelled,cancellation_code,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
434,2022-01-01,Endeavor Air Inc.,RST,KRST,MN,Minnesota,Rochester International Airport,43.9083,-92.5,-8.0,-26.0,0.0,,,,,,
435,2022-01-01,Endeavor Air Inc.,RST,KRST,MN,Minnesota,Rochester International Airport,43.9083,-92.5,-8.0,-25.0,0.0,,,,,,
436,2022-01-01,Endeavor Air Inc.,SAV,KSAV,GA,Georgia,Savannah/Hilton Head International Airport,32.1276,-81.2021,-5.0,-11.0,0.0,,,,,,
437,2022-01-01,Endeavor Air Inc.,SAV,KSAV,GA,Georgia,Savannah/Hilton Head International Airport,32.1276,-81.2021,-4.0,-14.0,0.0,,,,,,
438,2022-01-01,Endeavor Air Inc.,SBN,KSBN,IN,Indiana,South Bend International Airport,41.7087,-86.3173,4.0,-3.0,0.0,,,,,,
439,2022-01-01,Endeavor Air Inc.,SBN,KSBN,IN,Indiana,South Bend International Airport,41.7087,-86.3173,11.0,-21.0,0.0,,,,,,
440,2022-01-01,Endeavor Air Inc.,SCE,KUNV,PA,Pennsylvania,University Park Airport,40.8493,-77.8487,-14.0,-18.0,0.0,,,,,,
441,2022-01-01,Endeavor Air Inc.,SDF,KSDF,KY,Kentucky,Louisville International Airport (Standiford Field),38.1744,-85.736,-4.0,-20.0,0.0,,,,,,
442,2022-01-01,Endeavor Air Inc.,SGF,KSGF,MO,Missouri,Springfield-Branson National Airport,37.2457,-93.3886,-3.0,-33.0,0.0,,,,,,
443,2022-01-01,Endeavor Air Inc.,SGF,KSGF,MO,Missouri,Springfield-Branson National Airport,37.2457,-93.3886,-3.0,-2.0,0.0,,,,,,
444,2022-01-01,Endeavor Air Inc.,SHV,KSHV,LA,Louisiana,Shreveport Regional Airport,32.4466,-93.8256,-9.0,-23.0,0.0,,,,,,
445,2022-01-01,Endeavor Air Inc.,SHV,KSHV,LA,Louisiana,Shreveport Regional Airport,32.4466,-93.8256,-5.0,-26.0,0.0,,,,,,
446,2022-01-01,Endeavor Air Inc.,SHV,KSHV,LA,Louisiana,Shreveport Regional Airport,32.4466,-93.8256,7.0,-8.0,0.0,,,,,,
447,2022-01-01,Endeavor Air Inc.,STL,KSTL,MO,Missouri,Lambert-St. Louis International Airport,38.7487,-90.37,-5.0,-13.0,0.0,,,,,,
448,2022-01-01,Endeavor Air Inc.,STL,KSTL,MO,Missouri,Lambert-St. Louis International Airport,38.7487,-90.37,167.0,166.0,0.0,,166.0,0.0,0.0,0.0,0.0
449,2022-01-01,Endeavor Air Inc.,SYR,KSYR,NY,New York,Syracuse Hancock International Airport,43.1112,-76.1063,-5.0,2.0,0.0,,,,,,
450,2022-01-01,Endeavor Air Inc.,SYR,KSYR,NY,New York,Syracuse Hancock International Airport,43.1112,-76.1063,-5.0,4.0,0.0,,,,,,
451,2022-01-01,Endeavor Air Inc.,SYR,KSYR,NY,New York,Syracuse Hancock International Airport,43.1112,-76.1063,-2.0,-25.0,0.0,,,,,,
452,2022-01-01,Endeavor Air Inc.,TLH,KTLH,FL,Florida,Tallahassee International Airport,30.3965,-84.3503,3.0,-11.0,0.0,,,,,,
453,2022-01-01,Endeavor Air Inc.,TLH,KTLH,FL,Florida,Tallahassee International Airport,30.3965,-84.3503,46.0,48.0,0.0,,46.0,0.0,2.0,0.0,0.0
454,2022-01-01,Endeavor Air Inc.,TRI,KTRI,TN,Tennessee,Tri-Cities Regional Airport,36.4752,-82.4074,-5.0,-11.0,0.0,,,,,,
455,2022-01-01,Endeavor Air Inc.,TRI,KTRI,TN,Tennessee,Tri-Cities Regional Airport,36.4752,-82.4074,-3.0,9.0,0.0,,,,,,
456,2022-01-01,Endeavor Air Inc.,TRI,KTRI,TN,Tennessee,Tri-Cities Regional Airport,36.4752,-82.4074,2.0,-16.0,0.0,,,,,,
457,2022-01-01,Endeavor Air Inc.,TUL,KTUL,OK,Oklahoma,Tulsa International Airport,36.1984,-95.8881,-3.0,19.0,0.0,,0.0,0.0,19.0,0.0,0.0
